Food Item,Calories,Protein,Carbs,Fat
0.0,324,16.15,0.78,28.42
1.0,359,21.12,0.0,29.82
1.0,361,22.13,0.0,29.59
1.0,340,23.06,0.0,26.82
1.0,341,21.82,0.0,27.53
1.0,201,18.58,0.0,13.49
1.0,259,16.63,0.0,20.86
0.0,218,29.75,0.0,10.08
0.0,180,19.7,1.51,10.6
0.0,151,20.48,0.0,7.01
0.0,198,33.9,0.0,5.92
0.0,212,32.62,0.0,8.07
1.0,203,19.32,0.0,13.38
0.0,227,17.87,0.0,17.28
1.0,295,16.52,0.0,24.85
1.0,333,16.03,0.0,29.34
0.0,240,17.22,0.0,19.03
1.0,244,17.01,0.0,18.97
1.0,134,20.55,0.0,5.08
1.0,244,19.23,0.0,17.98
1.0,134,22.53,0.0,4.2
1.0,133,23.07,0.0,3.88
0.0,154,21.17,0.0,7.06
1.0,135,22.91,0.0,4.09
4.0,233,12.08,29.27,7.51
16.0,243,13.89,27.1,8.81
2.0,190,4.89,23.93,8.28
0.0,171,25.95,0.0,6.69
1.0,215,20.28,0.0,14.19
37.0,339,0.51,0.66,37.77
1.0,155,22.78,0.0,6.43
0.0,153,21.29,0.0,7.56
1.0,55,1.95,10.67,0.37
0.0,172,28.09,0.0,5.82
